Index,馬名,生年月日,調教師,馬主,生産者,産地,セリ取引価格,父,母,母父,POG期間賞金_半期,POG期間賞金_通年
2013100000,,,,,,,,,,,,
2013100001,コスモカナディアン 　,2013年5月3日,金成貴史 (美浦),ビッグレッドファーム,アイズスタッド,日高町,659万円 (2014年 北海道オータムセール),ロージズインメイ,カナディアンアプルーバル,With Approval,530.00,1554.40
2013100002,バトルゾーン 　,2013年5月3日, ,,アイズスタッド,日高町,,ナカヤマフェスタ,キョウエイフルハム,ジェリ,0,0
2013100003,アイリーアイリー 　,2013年5月14日,加藤和宏 (美浦),松岡ゆか,アイズスタッド,日高町,,オレハマッテルゼ,キョウエイペルレ,ワージブ,0.00,75.00
2013100004, □地マイネルアーベント 　,2013年3月29日,千葉幸喜 (地方),岩渕瑞生,アイズスタッド,日高町,,ケイムホーム,グレイスサンセット,ジャングルポケット,0.00,45.50
2013100005,ナンベーサン 　,2013年3月17日,伊藤大士 (美浦),宮原廣伸,アイズスタッド,日高町,659万円 (2014年 北海道サマーセール),スウェプトオーヴァーボード,グロッタアズーラ,フジキセキ,0.00,625.00
2013100006, □地クエリ 　,2013年5月12日,稲葉道行 (浦和),（有）岩見牧場,アイズスタッド,日高町,173万円 (2014年 北海道オータムセール),プリサイスエンド,ラウリシルヴァ,ネオユニヴァース,190.00,210.40
2013100007,ブレイズガール 　,2013年4月7日,飯田雄三 (栗東),岡田牧雄,旭牧場,日高町,54万円 (2014年 北海道サマーセール),ローレルゲレイロ,アペイロン,エルコンドルパサー,0.00,500.00
2013100008, □地ビッグダディ 　,2013年4月25日,三小田幸 (佐賀),木稲安則,厚賀古川牧場,日高町,,スターリングローズ,アマンディーヌ,コロナドズクエスト,62.00,100.10
2013100009, □地ヘビデューティー 　,2013年4月8日,小久保智 (浦和),岡田壮史,厚賀古川牧場,日高町,356万円 (2014年 北海道オータムセール),カネヒキリ,コスマグレース,ヘクタープロテクター,78.00,209.00
2013100010, □地アリュエット 　,2013年3月31日,黒川智貴 (北海道),大久保和夫,厚賀古川牧場,日高町,,キングヘイロー,コパノベンザイテン,アドマイヤベガ,2.00,25.00
2013100011, □地カソク 　,2013年3月23日,今津勝之 (愛知),芹澤精一,厚賀古川牧場,日高町,,ワークフォース,シュガーミント,アグネスタキオン,0.00,8.30
2013100012, □地ラブバトル 　,2013年3月16日,菅原勲 (岩手),内山一郎,厚賀古川牧場,日高町,,ファスリエフ,バトルタイム,アンシェントタイム,5.30,5.30
2013100013,アグネスジェネシス 　,2013年5月10日,長浜博之 (栗東),渡辺公美子,天羽牧場,日高町,,カジノドライヴ,アグネスファスト,アグネスタキオン,0.00,0.00
2013100014, □地サーラジャー 　,2013年5月4日,佐々木功 (船橋),横川マスミ,天羽牧場,日高町,,カジノドライヴ,ギルティーコンシェンス,アントレプレナー,123.00,181.80
2013100015,エンパイアバローズ 　,2013年5月23日,渡辺薫彦 (栗東),猪熊広次,天羽牧場,日高町,778万円 (2014年 北海道サマーセール),エンパイアメーカー,ナリタフローラ,サンデーサイレンス,0.00,72.00
2013100016,ヴィリア 　,2013年4月24日,矢作芳人 (栗東),田所英子,天羽牧場,日高町,,ディープインパクト,ファイトガリバー,ダイナガリバー,0.00,0.00
2013100017,ファラオカズマ 　,2013年2月15日,西浦勝一 (栗東),合同会社雅苑興業,天羽牧場,日高町,"2,484万円 (2014年 北海道セレクションセール)",ダイワメジャー,ブルーオアシス,Sadler's Wells,0.00,0.00
2013100018,マヤノピナクル 　,2013年3月1日,牧光二 (美浦),田所英子,天羽牧場,日高町,,ドリームジャーニー,ベッラベリッシモ,Alzao,780.00,780.00
