Index,馬名,生年月日,調教師,馬主,生産者,産地,セリ取引価格,父,母,母父,POG期間賞金_半期,POG期間賞金_通年
2010100000,,,,,,,,,,,,
2010100001, □地ミッキーマンデー 　,2010年4月4日,矢野久美 (佐賀),坂本忠教,赤石牧場,平取町,315万円 (2011年 北海道サマーセール),スズカフェニックス,カルメンジョオー,ミルジョージ,180.00,740.00
2010100002, □地ドリームハピネス 　,2010年2月28日,佐々木仁 (川崎),（株）ドリームターフ,赤石牧場,平取町,,スズカマンボ,スターオブブリッジ,トロットサンダー,153.40,153.40
2010100003, □地マリンフレイバー 　,2010年3月27日,福永敏 (地方),尾田信夫,赤石牧場,平取町,,スウェプトオーヴァーボード,フレンチフレイバー,フレンチデピュティ,250.00,250.00
2010100004, □地リアライズリンクス 　,2010年4月6日,小久保智 (浦和),飯田訓大,赤石牧場,平取町,378万円 (2011年 北海道サマーセール),ダイタクリーヴァ,ブライティアイブン,マイネルラヴ,200.00,630.00
2010100005, □地アザヤカスター 　,2010年3月26日,安部弘一 (愛知),（有）ホースケア,稲原牧場,平取町,,スズカフェニックス,エアコムロー,オペラハウス,5.20,5.20
2010100006, □地エアマデレーン 　,2010年4月22日,今津勝之 (愛知),大西優,稲原牧場,平取町,,ゴールドアリュール,エアセイレン,Grand Lodge,0.00,0.00
2010100007, □地エアオリアンティ 　,2010年4月6日,吉田昭 (佐賀),宮村明,稲原牧場,平取町,,スウェプトオーヴァーボード,エアデュシェス,アグネスタキオン,54.50,54.50
2010100008, □地スリーエアウィーク 　,2010年3月5日,川西毅 (愛知),永井商事（株）,稲原牧場,平取町,525万円 (2011年 北海道セレクションセール),スペシャルウィーク,エアリング,ダンシングブレーヴ,0.00,0.00
2010100009, ○地スズカノジェリコ 　,2010年4月9日,加藤敬二 (栗東),永井啓弍,稲原牧場,平取町,,スズカマンボ,スズカローズマリー,アフリート,0.00,0.00
2010100010,キタノフェニックス 　,2010年4月23日,清水久詞 (栗東),ジャパンフードビジネス,稲原牧場,平取町,284万円 (2011年 北海道オータムセール),スズカフェニックス,センターシャイネン,ブライアンズタイム,0.00,0.00
2010100011,スズカブルパップ 　,2010年4月11日,小島茂之 (美浦),永井啓弍,稲原牧場,平取町,,スズカフェニックス,ブリイジースズカ,Danzig,0.00,0.00
2010100012, □地ナカノヘイロー 　,2010年4月4日,工藤英嗣 (高知),西森鶴,稲原牧場,平取町,,ゴールドヘイロー,ベネチアンテンズ,クリスタルグリッターズ,64.30,78.50
2010100013,ヤギリハーツ 　,2010年5月9日,高橋義博 (美浦),内田ヤエ子,稲原牧場,平取町,945万円 (2012年 JRAブリーズアップセール),ハーツクライ,メイショウヤエガキ,クリエイター,0.00,180.00
2010100014,サンシーカーの2010 　,2010年3月16日, ,,岩井裕,平取町,,アサクサデンエン,サンシーカー,フォーティナイナー,0,0
2010100015, □地アイティインドラ 　,2010年5月3日,浜田一夫 (高崎),一ノ瀬恭,大山牧場,平取町,,ソングオブウインド,ワンダーフェロー,バブルガムフェロー,5.90,10.80
2010100016,スガロマン 　,2010年3月16日,石毛善彦 (美浦),菅實,北島牧場,平取町,494万円 (2012年 JRAブリーズアップセール),アルカセット,イシノクイル,サンデーサイレンス,0.00,0.00
2010100017, □地フレンチカンカン 　,2010年1月29日,井上弘之 (大井),北嶋義三,北島牧場,平取町,,フレンチデピュティ,エンプレスロッチ,カコイーシーズ,143.50,192.50
2010100018,オーシャンルミナスの2010 　,2010年3月1日, ,,北島牧場,平取町,,リンカーン,オーシャンルミナス,フレンチデピュティ,0,0
2010100019,ミラクルベル 　,2010年1月11日,池上昌弘 (美浦),栗山良子,北島牧場,平取町,,フジキセキ,キャットニップ,タバスコキャット,0.00,4.40
2010100020, □地マカオ 　,2010年3月29日,桑田忠規 (福山),池田征二,北島牧場,平取町,,アドマイヤジャパン,ゴールデンプランクスター,Seeking the Gold,8.00,8.00
2010100021, □地キリシマ 　,2010年2月26日,佐々木仁 (川崎),諸岡慶,北島牧場,平取町,,アジュディケーティング,シャンクオリティ,モガミ,37.50,37.50
2010100022,ダイヤパッション 　,2010年4月9日,金成貴史 (美浦),大野數芳,北島牧場,平取町,,アドマイヤジャパン,シーンプロット,Dayjur,0.00,1.40
2010100023, □地ウインレコード 　,2010年4月5日,井上弘之 (大井),北嶋義三,北島牧場,平取町,,チチカステナンゴ,ダンスインザロッチ,ダンスインザダーク,0.00,0.00
2010100024, □地ママワブンダバー 　,2010年3月12日,長倉功 (兵庫),竹内勝之,北島牧場,平取町,,スズカマンボ,トロフィーポイント,オジジアン,44.10,108.10
2010100025,ペガサスムーン 　,2010年4月26日,清水久詞 (栗東),名古屋競馬,北島牧場,平取町,"1,575万円 (2011年 北海道セレクションセール)",フジキセキ,バズビナ,Highest Honor,0.00,0.00
2010100026, □地エフティチャーミー 　,2010年2月28日,山越光 (浦和),江川伸夫,北島牧場,平取町,"1,260万円 (2012年 JRAブリーズアップセール)",ブラックタイド,フラワーブリーズ,フェアジャッジメント,1306.60,1416.60
2010100027, □地マヤノチャクリ 　,2010年1月17日,田嶋弘幸 (金沢),田所英子,北島牧場,平取町,,チャクラ,マヤノプリヤ,フサイチコンコルド,180.00,180.00
2010100028, □地ロイヤルパワー 　,2010年4月20日,米田英世 (大井),北嶋義三,北島牧場,平取町,,ロージズインメイ,ラヴマリッジ,フレンチデピュティ,246.00,739.60
2010100029, □地ラインプライド 　,2010年4月23日,鷹見浩 (大井),大沢繁昌,北島牧場,平取町,326万円 (2011年 北海道セレクションセール),アジュディケーティング,ラーイズプライド,Rahy,530.00,773.40
2010100030, □地タケノオーシャン 　,2010年4月25日,松浦裕之 (大井),小笠原武,協栄組合,平取町,263万円 (2011年 北海道オータムセール),ローエングリン,キヘイタウン,スピニングワールド,0.00,0.00
2010100031, □地ウインマスカット 　,2010年5月3日,村上昌幸 (岩手),岩渕道良,協栄組合,平取町,525万円 (2011年 北海道サマーセール),リンカーン,マチカネレイロウ,ノーザンテースト,0.00,59.90
2010100032,ランクインの2010 　,2010年6月7日, ,,協栄組合,平取町,,タップダンスシチー,ランクイン,アドマイヤコジーン,0,0
2010100033,レディアトラクトの2010 　,2010年5月3日, ,,協栄組合,平取町,,タップダンスシチー,レディアトラクト,ウォーニング,0,0
2010100034,コアレスキング 　,2010年4月22日,尾形充弘 (美浦),小林昌志,コアレススタッド,平取町,,キングカメハメハ,コアレスサンデー,ジェニュイン,0.00,960.00
2010100035,シャイニープリンス 　,2010年4月26日,栗田博憲 (美浦),小林昌志,コアレススタッド,平取町,,キングヘイロー,ダイタクピア,リンドシェーバー,110.00,3604.50
2010100036,ベルウッドシード 　,2010年3月15日,菅原泰夫 (美浦),鈴木照雄,コアレススタッド,平取町,210万円 (2011年 北海道サマーセール),キングヘイロー,ブライティアアップ,シングスピール,0.00,0.00
2010100037,エルフェンリート 　,2010年4月20日,菊川正達 (美浦),岡田牧雄,コアレススタッド,平取町,147万円 (2011年 北海道オータムセール),チーフベアハート,ブライティアエルフ,アドマイヤコジーン,0.00,0.00
2010100038, □地ブライティアミル 　,2010年3月20日,晴山厚司 (岩手),小林昌志,清水克則,新冠町,,フジキセキ,ブライティアカーム,キンググローリアス,180.00,770.00
2010100039,シャーベットカラー 　,2010年3月17日,水野貴広 (美浦),植木茂年,コアレススタッド,平取町,,キングヘイロー,ブライティアドーツ,ハイブリッジスルー,0.00,0.00
2010100040,デンコウシラヌイ 　,2010年4月1日,坂口正則 (栗東),田中康弘,コアレススタッド,平取町,987万円 (2011年 北海道サマーセール),チーフベアハート,ブライティアバード,Forest Wildcat,70.00,70.00
2010100041, □地ステイブライティア 　,2010年2月10日,熊谷昇 (岩手),小林昌志,コアレススタッド,平取町,,ステイゴールド,レディブライティア,デュラブ,0.00,0.00
2010100042, □地ハクシンファミリー 　,2010年5月21日,松島寿 (佐賀),（同）ＪＰＮ技研,鹿戸辰幸,平取町,,サムライハート,エラボレーション,ロドリゴデトリアーノ,0.00,23.40
