Index,馬名,生年月日,調教師,馬主,生産者,産地,セリ取引価格,父,母,母父,POG期間賞金_半期,POG期間賞金_通年
2011100000,,,,,,,,,,,,
2011100001, □地アフィニス 　,2011年4月29日,佐藤寿 (大井),大倉衛,旭牧場,日高町,,マイネルセレクト,アペイロン,エルコンドルパサー,0.00,0.00
2011100002,コウシュンヒメの2011 　,2011年4月7日, ,,旭牧場,日高町,,ハイアーゲーム,コウシュンヒメ,モガンボ,0,0
2011100003, □地スパゲッティー 　,2011年4月1日,加藤幸保 (笠松),伊藤寿孝,旭牧場,日高町,,サイレントディール,ローメリン,ウォーニング,0.00,36.00
2011100004, □地ブラックミルキー 　,2011年5月7日,室井真文 (金沢),（株）ファーストビジ,厚賀古川牧場,日高町,84万円 (2012年 北海道オータムセール),ブラックホーク,オーチャードグラス,ブライアンズタイム,22.10,27.40
2011100005, □地ワットロンクン 　,2011年5月28日,山下貴之 (船橋),大久保和夫,厚賀古川牧場,日高町,,クロフネ,コパノベンザイテン,アドマイヤベガ,59.00,729.00
2011100006, □地ヴァローダムーン 　,2011年3月29日,久保與造 (大井),鶴田稔,厚賀古川牧場,日高町,,ジャイアントレッカー,サンエムバラード,アグネスタキオン,17.60,114.40
2011100007,スナイパーライフル 　,2011年4月15日,日吉正和 (栗東),山上和良,厚賀古川牧場,日高町,105万円 (2012年 北海道サマーセール),マヤノトップガン,シービーフレイム,Fit to Fight,0.00,1.60
2011100008, □地リュウノトップガン 　,2011年4月28日,斉藤敏 (船橋),蓑島竜一,厚賀古川牧場,日高町,,マヤノトップガン,ハッスルメール,ヴィクトリースピーチ,33.00,33.00
2011100009,バトルタイムの2011 　,2011年2月22日, ,,厚賀古川牧場,日高町,,タニノギムレット,バトルタイム,アンシェントタイム,0,0
2011100010,リキアイワンダーの2011 　,2011年3月6日, ,,厚賀古川牧場,日高町,,ブラックホーク,リキアイワンダー,クリスタルグリッターズ,0,0
2011100011,アグネスファストの2011 　,2011年6月4日, ,,天羽牧場,日高町,,キングカメハメハ,アグネスファスト,アグネスタキオン,0,0
2011100012,チュロ 　,2011年2月22日,牧光二 (美浦),エデンアソシエーション,天羽牧場,日高町,200万円 (2012年 北海道サマーセール),キングヘイロー,オールマイティ,フジキセキ,1260.00,1260.00
2011100013,エクセレントビュー 　,2011年4月24日,高柳瑞樹 (美浦),シルクレーシング,天羽牧場,日高町,,チチカステナンゴ,トップエクセレント,アグネスタキオン,700.00,1308.00
2011100014, □地トーコーニーケ 　,2011年4月22日,吉行龍穂 (兵庫),森田藤治,天羽牧場,日高町,"1,050万円 (2012年 北海道サマーセール)",キングカメハメハ,ナリタフローラ,サンデーサイレンス,418.00,2734.00
2011100015,ウィルソン 　,2011年2月27日,矢作芳人 (栗東),天羽牧場,天羽牧場,日高町,,ネオユニヴァース,ファイトガリバー,ダイナガリバー,110.00,110.00
2011100016,ポメグラネイト 　,2011年1月22日,長浜博之 (栗東),畑佐博,天羽牧場,日高町,,ダイワメジャー,フレンチバージン,フレンチデピュティ,75.00,1680.00
2011100017, □地トップエンデヴァー 　,2011年2月22日,田嶋弘幸 (金沢),田所英子,天羽牧場,日高町,,マヤノトップガン,ベッラベリッシモ,Alzao,0.00,0.00
2011100018,センセーション 　,2011年6月12日,矢作芳人 (栗東),田所英子,天羽牧場,日高町,,ゼンノロブロイ,マシュール,Giant's Causeway,0.00,320.00
2011100019, □地ダディーズギフト 　,2011年4月1日,田嶋弘幸 (金沢),田所英子,天羽牧場,日高町,,ステイゴールド,マックスロゼ,ヘクタープロテクター,0.00,0.00
2011100020,ヴィヴェク 　,2011年5月11日,牧光二 (美浦),田所英子,天羽牧場,日高町,,チチカステナンゴ,マヤノダンシャラ,モンジュー,0.00,0.00
2011100021,レンブラント 　,2011年4月19日,武市康男 (美浦),田所英子,天羽牧場,日高町,,チャクラ,マヤノマーガレット,フォーティナイナー,0.00,940.00
2011100022,ケイリンボス 　,2011年3月9日,矢作芳人 (栗東),山田裕仁,天羽牧場,日高町,,ダイワメジャー,マリンフェスタ,サクラバクシンオー,0.00,610.00
